Date,Total_Cases
2019-01-01,17484.0
2019-02-01,17662.0
2019-03-01,17557.0
2019-04-01,20135.0
2019-05-01,20955.0
2019-06-01,18580.0
2019-07-01,19986.0
2019-08-01,19146.0
2019-09-01,20563.0
2019-10-01,18710.0
2019-11-01,17946.0
2019-12-01,16960.0
2020-01-01,18006.0
2020-02-01,17472.0
2020-03-01,17150.0
2020-04-01,9098.0
2020-05-01,11513.0
2020-06-01,13192.0
2020-07-01,17823.0
2020-08-01,16165.0
2020-09-01,16650.0
2020-10-01,17813.0
2020-11-01,17219.0
2020-12-01,15825.0
2021-01-01,16093.0
2021-02-01,15545.0
2021-03-01,18052.0
2021-04-01,16302.0
2021-05-01,17172.0
2021-06-01,17546.0
2021-07-01,14925.0
2021-08-01,17896.0
2021-09-01,17316.0
2021-10-01,16270.0
2021-11-01,15670.0
2021-12-01,14715.0
2022-01-01,16027.0
2022-02-01,15902.0
2022-03-01,17844.0
2022-04-01,18122.0
2022-05-01,17788.0
2022-06-01,17358.0
2022-07-01,17137.0
2022-08-01,18485.0
2022-09-01,17270.0
2022-10-01,17008.0
2022-11-01,16491.0
2022-12-01,14062.0
2023-01-01,15607.0
2023-02-01,15305.0
2023-03-01,17262.0
2023-04-01,16644.0
2023-05-01,17943.0
2023-06-01,15526.0
2023-07-01,17738.0
2023-08-01,17698.0
2023-09-01,16499.0
2023-10-01,15989.0
2023-11-01,13681.0
2023-12-01,14483.0
2024-01-01,14043.0
2024-02-01,15490.0
2024-03-01,17280.0
2024-04-01,16819.0
2024-05-01,16011.0
2024-06-01,15604.0
2024-07-01,14966.0
2024-08-01,8833.0
2024-09-01,12245.0
2024-10-01,13265.0
2024-11-01,13827.0
2024-12-01,13622.0
2025-01-01,14572.0
2025-02-01,13002.0
2025-03-01,16240.0
2025-04-01,16368.0
2025-05-01,16045.0
2025-06-01,15167.0
2025-07-01,15389.0
2025-08-01,15656.0
2025-09-01,15431.0
2025-10-01,16170.0
2025-11-01,14465.0
2025-12-01,13232.0
2026-01-01,14058.0
2026-02-01,11775.0
2026-03-01,16157.0
2026-04-01,17180.0
