category,model,horizon,fold,MAPE,WAPE,sMAPE,MAE,RMSE,true_MASE
Dacoity,Naive,1,4,0.0,0.0,0.0,0.0,0.0,0.0
Dacoity,SARIMA,3,4,6.61757097232042,6.885496812424348,7.002903867184967,4.705089488512923,6.0531469129190985,0.45717468714295606
Dacoity,Naive,6,2,9.313322322221097,9.289617486288035,9.324299238009887,2.8333333333333335,3.488074922742725,0.3629893238434164
Dacoity,ARIMA,12,4,15.511321574623313,14.004184867570608,14.120148786914477,8.192448147540475,10.021886287752897,0.7960273503683053
Kidnapping,ARIMA,1,1,0.5011379986922402,0.5011379986793906,0.502396849444198,0.1954438194899737,0.1954438194899737,0.01873263445590802
Kidnapping,Naive,3,1,7.521367521367521,8.527131782879636,8.251289263854504,3.6666666666666665,5.802298395176403,0.35143769968051114
Kidnapping,SARIMA,6,4,10.871927012772547,11.020679112145288,10.76390488990567,9.477784036463314,9.794873885951285,0.7710739555088798
Kidnapping,SNaive,12,0,14.12031668684581,15.151515151482355,14.384276604607313,5.833333333333333,7.7781745930520225,0.49645390070921985
Murder,SARIMA,1,1,0.2009809801557588,0.20098098015507984,0.20118315008889742,0.5949037012610461,0.5949037012610461,0.02122129731014433
Murder,Theta,3,2,2.0972758699944656,2.10301545814572,2.111259939418972,4.977136584285215,5.0540566642714495,0.1817210111909409
Murder,LGBM,6,2,4.0152199340304575,4.013672194242194,3.933673816031178,10.254932456295492,12.062163639290524,0.37441944059496723
Murder,Ensemble,12,1,4.797015820892417,4.8946950037823225,4.780816967093876,12.391736184579658,16.5441335985472,0.44203577352840634
RC_Narcotics,SARIMA,1,0,0.9845535759719087,0.9845535759717675,0.9797305896939772,68.6036931737226,68.6036931737226,0.058334406950198134
RC_Narcotics,SNaive,3,1,3.9281324226688037,3.9276385798585696,3.975857620359428,270.6666666666667,297.13745416333273,0.25969872389420157
RC_Narcotics,Naive,6,4,5.791290837837324,5.658115559817563,5.735504565629085,236.0,283.1524913069517,0.19198047656170558
RC_Narcotics,ARIMA,12,4,6.830280243877105,6.779741659838356,6.836422949357463,292.687097239944,334.7556147736286,0.23809410343892676
Robbery,SARIMA,1,3,0.8371449533871776,0.837144953378889,0.840663740421965,0.8455164029210493,0.8455164029210493,0.05918614820447345
Robbery,SNaive,3,1,2.968764475187598,2.960526315779735,2.9252202755516006,3.0,3.0,0.20361990950226244
Robbery,ETS,6,4,5.071640219769375,5.205425744014874,5.206423589055772,8.432789705312771,10.741739383068957,0.499720871425942
Robbery,ETS,12,4,7.482276904863955,7.143458698425022,7.313555159746472,11.5188271512163,15.184581263284132,0.6825971645165215
Theft,LGBM,1,2,0.15754762948060788,0.15754762948039755,0.1574236208890262,1.180031744809753,1.180031744809753,0.012381563046677677
Theft,Theta,3,1,3.3288173233255858,3.433997795661678,3.413392753410533,28.857028142888414,39.167440737819554,0.2828196159054729
Theft,ARIMA,6,0,4.5224617726233545,4.555109142846879,4.611800328582686,35.83352525706971,39.213517592962674,0.32221978500175086
Theft,ARIMA,12,0,7.388230591197965,7.363516887150463,7.461405676387462,58.141102088131674,66.72712549365633,0.5228124578925292
Total_Cases,SNaive,1,0,0.41180507892930684,0.4118050789292811,0.41095890410957625,66.0,66.0,0.022545475248370292
Total_Cases,SNaive,3,0,1.2741545440044195,1.2677556104715155,1.2801164179995173,210.33333333333334,241.57055560091203,0.07184946909960432
Total_Cases,SNaive,6,0,3.068598015955593,3.1589367339214176,3.1692725452894566,542.5,806.4602697384829,0.18531697457940732
Total_Cases,SNaive,12,0,4.061115420223776,4.085624146166452,4.199760877518735,692.8333333333334,948.2151654556048,0.23667055708958412
Woman_Child_Repression,ARIMA,1,3,0.05168916188225543,0.05168916188222506,0.05167580648660584,0.8797495352359874,0.8797495352359874,0.0036321125017115376
Woman_Child_Repression,ARIMA,3,1,3.1521116479766644,3.0986608301031886,3.1065915216454076,55.1974782535818,64.06327513254267,0.2092663146224509
Woman_Child_Repression,Ensemble,6,0,6.872895836268116,6.972468535438516,6.9473079222142475,108.73564681017528,128.84303809014284,0.39219349615933374
Woman_Child_Repression,Ensemble,12,0,6.01747919256407,5.948962753054611,6.012924953740789,93.89941958801113,107.99172221482851,0.33868140518669476
