category,model,horizon,fold,MAPE,WAPE,sMAPE,MAE,RMSE,true_MASE
Total_Cases,Naive,1,0,8.186185811443188,8.186185811442678,8.535553965258977,1312.0,1312.0,0.44817672008881554
Total_Cases,Naive,1,1,1.2896072824881835,1.2896072824881082,1.281345122481482,221.0,221.0,0.0901881299906139
Total_Cases,Naive,1,2,9.899404113538797,9.899404113538163,10.414911186760241,1545.0,1545.0,0.7078857608308303
Total_Cases,Naive,1,3,12.470402525651144,12.47040252565044,13.2996632996629,2212.0,2212.0,1.1108135252761968
Total_Cases,Naive,1,4,3.1332336395357117,3.1332336395354883,3.0849049989482196,440.0,440.0,0.23454939197068134
Total_Cases,SNaive,1,0,0.41180507892930684,0.4118050789292811,0.41095890410957625,66.0,66.0,0.022545475248370292
Total_Cases,SNaive,1,1,12.907743479021999,12.907743479021248,13.79826585989602,2212.0,2212.0,0.9026974820779998
Total_Cases,SNaive,1,2,2.6911001473697698,2.6911001473695975,2.6553708035656998,420.0,420.0,0.19243496410935193
Total_Cases,SNaive,1,3,3.3882061111737514,3.3882061111735604,3.4465949820787545,601.0,601.0,0.30180783394710414
Total_Cases,SNaive,1,4,11.137221391440576,11.137221391439782,10.549747048903523,1564.0,1564.0,0.8337164750957854
Total_Cases,ETS,1,0,5.4707442115598175,5.470744211559476,5.624597893397935,876.7961747866921,876.7961747866921,0.2995119160078655
Total_Cases,ETS,1,1,8.922480359486944,8.922480359486421,8.541426795368347,1529.0454592052774,1529.0454592052774,0.6239898218839977
Total_Cases,ETS,1,2,3.605702733398529,3.605702733398298,3.671901662708403,562.7420256015084,562.7420256015084,0.25783628928440544
Total_Cases,ETS,1,3,2.0380640739196028,2.0380640739194877,2.059046416560166,361.5118054318591,361.5118054318591,0.18154258726072603
Total_Cases,ETS,1,4,5.5298118468953605,5.529811846894967,5.381031391216836,776.5514776595155,776.5514776595155,0.4139538111794852
Total_Cases,Theta,1,0,5.767886344137975,5.767886344137615,5.939168591201409,924.4191443749933,924.4191443749933,0.3157798324034251
Total_Cases,Theta,1,1,1.9327518864653073,1.9327518864651942,1.9142530059233998,331.2156907835597,331.2156907835597,0.1351661709290437
Total_Cases,Theta,1,2,4.625713580323342,4.625713580323045,4.735232732097464,721.9351184810639,721.9351184810639,0.3307751395575816
Total_Cases,Theta,1,3,8.635883381550238,8.635883381549752,9.025603685949745,1531.8329942193814,1531.8329942193814,0.7692499134010955
Total_Cases,Theta,1,4,3.2479504152580314,3.2479504152578005,3.196047397892078,456.1096768146854,456.1096768146854,0.24313692583824642
Total_Cases,ARIMA,1,0,7.470817966875655,7.470817966875189,7.760712311747183,1197.3479955511611,1197.3479955511611,0.40901181208158316
Total_Cases,ARIMA,1,1,1.5734506445607415,1.5734506445606495,1.5611685363616652,269.64223695837427,269.64223695837427,0.11003859329303971
