Date,Dacoity,Robbery,Murder,Speedy_Trial,Riot,Woman_Child_Repression,Kidnapping,Police_Assault,Burglary,Theft,Other_Cases,RC_Arms_Act,RC_Explosive_Act,RC_Narcotics,RC_Smuggling,Total_Cases
2019-01-01,32,68,351,48,1,1139,46,69,174,494,5428,174,30,9069,361,17484
2019-02-01,24,43,262,63,0,1217,45,37,165,493,4764,183,8,10003,355,17662
2019-03-01,20,39,290,74,4,1366,42,41,173,513,5313,186,19,9160,317,17557
2019-04-01,28,71,319,53,0,1971,56,45,171,514,6341,209,7,10029,321,20135
2019-05-01,24,82,320,5,0,2041,43,59,182,579,7492,283,21,9491,333,20955
2019-06-01,25,92,371,7,0,2100,52,61,192,547,6649,203,10,7949,322,18580
2019-07-01,38,96,332,7,0,2083,44,46,241,611,5745,224,14,10170,335,19986
2019-08-01,28,79,344,55,0,1937,78,46,226,570,6077,237,15,9156,298,19146
2019-09-01,38,75,268,50,0,2276,77,48,258,712,5943,250,10,10198,360,20563
2019-10-01,38,90,288,69,1,2101,48,38,241,686,5567,232,26,8888,397,18710
2019-11-01,22,95,258,46,1,1923,32,38,197,599,5477,214,14,8670,360,17946
2019-12-01,33,66,250,54,1,1610,35,27,219,562,5140,177,22,8409,355,16960
2020-01-01,39,83,273,53,2,1624,39,31,238,681,5244,172,14,9153,360,18006
2020-02-01,26,87,257,56,1,1740,41,34,218,571,5400,174,12,8531,324,17472
2020-03-01,26,78,279,72,2,1803,39,43,195,560,5995,161,3,7623,271,17150
2020-04-01,10,32,273,37,0,925,10,45,93,293,5572,77,9,1639,83,9098
2020-05-01,11,59,361,44,0,1168,19,50,136,397,6585,112,6,2461,104,11513
2020-06-01,27,79,303,86,0,1739,38,33,184,506,5752,136,9,4145,155,13192
2020-07-01,23,91,358,81,1,1912,38,39,216,779,5717,239,13,8077,239,17823
2020-08-01,28,84,322,91,1,2313,49,24,258,584,6489,90,11,5575,246,16165
2020-09-01,28,105,279,84,0,2339,54,23,264,752,5993,128,16,6354,231,16650
2020-10-01,32,120,304,103,0,2982,55,52,262,745,6197,155,13,6485,308,17813
2020-11-01,29,79,271,86,4,2202,47,40,239,675,6383,134,19,6787,224,17219
2020-12-01,23,81,259,78,2,1770,57,35,230,657,5769,112,21,6509,222,15825
2021-01-01,33,87,257,92,0,1641,37,47,232,694,5945,114,37,6639,238,16093
2021-02-01,26,67,249,90,1,1597,42,50,217,685,5727,147,28,6422,197,15545
2021-03-01,23,85,295,110,1,2000,45,79,225,722,6439,156,18,7636,218,18052
2021-04-01,15,80,302,75,8,1855,36,51,176,621,7345,158,17,5397,166,16302
2021-05-01,23,83,295,116,0,1849,39,44,203,662,7492,161,17,6033,155,17172
2021-06-01,38,86,267,112,3,2268,50,41,217,738,6394,153,12,6967,200,17546
2021-07-01,22,61,279,103,0,1817,24,32,240,681,5901,155,16,5418,176,14925
2021-08-01,30,84,278,93,2,2079,32,30,296,805,5724,169,17,8048,209,17896
2021-09-01,23,86,267,77,0,2135,37,37,235,830,5725,163,16,7487,198,17316
2021-10-01,29,94,243,70,1,1966,35,57,228,741,5800,130,14,6687,175,16270
2021-11-01,28,82,251,100,5,1503,31,93,184,632,5466,191,41,6904,159,15670
2021-12-01,18,76,231,79,2,1426,29,47,192,687,5510,164,35,6037,182,14715
2022-01-01,30,91,264,94,0,1433,39,53,213,729,5675,147,30,7048,181,16027
2022-02-01,37,85,234,81,0,1454,25,45,206,719,5340,158,20,7309,189,15902
2022-03-01,35,94,247,95,0,1976,37,57,223,888,6399,140,29,7430,194,17844
2022-04-01,24,107,269,111,0,1713,35,55,228,887,7578,170,20,6714,211,18122
2022-05-01,24,85,276,96,1,2001,32,44,226,689,7114,147,16,6876,161,17788
2022-06-01,40,85,249,99,0,2039,40,56,227,842,6487,128,13,6867,186,17358
2022-07-01,37,97,306,91,0,1962,33,40,258,743,6834,116,17,6421,182,17137
2022-08-01,40,107,266,98,1,2215,45,44,294,910,6822,118,26,7298,201,18485
2022-09-01,47,109,283,102,7,2080,40,45,257,926,6132,106,25,6883,228,17270
2022-10-01,38,102,277,117,0,1942,61,51,252,784,6414,100,34,6640,196,17008
2022-11-01,29,92,250,84,3,1586,33,54,237,767,6073,110,100,6890,183,16491
2022-12-01,23,73,198,64,1,1202,34,56,189,695,4893,98,130,6238,168,14062
2023-01-01,27,107,214,84,1,1265,31,36,191,784,5534,110,31,6968,224,15607
2023-02-01,21,97,222,95,0,1295,26,56,168,725,5873,109,49,6379,190,15305
2023-03-01,30,111,268,99,0,1652,38,47,185,797,6685,128,29,6976,217,17262
