Unit,Dacoity,Robbery,Murder,Speedy_Trial,Riot,Woman_Child_Repression,Kidnapping,Police_Assault,Burglary,Theft,Other_Cases,RC_Arms_Act,RC_Explosive_Act,RC_Narcotics,RC_Smuggling,Date
BMP,0,0,0,0,0,14,1,0,4,6,49,1,0,91,0,2019-01-01
Barishal Range,2,3,16,2,0,86,3,2,16,23,378,1,0,363,0,2019-01-01
CMP,0,3,9,5,0,22,0,5,6,15,125,38,0,449,1,2019-01-01
Chittagong Range,4,11,74,4,0,147,6,10,25,51,891,54,1,1108,10,2019-01-01
DMP,1,10,19,10,0,118,9,6,49,127,411,6,3,1370,14,2019-01-01
Dhaka Range,7,11,75,10,0,216,12,13,28,70,889,18,3,1731,6,2019-01-01
GMP,2,3,3,1,0,22,1,2,2,8,65,3,0,130,2,2019-01-01
KMP,1,0,4,1,0,8,0,0,6,4,16,2,0,272,3,2019-01-01
Khulna Range,4,4,37,0,0,99,2,2,7,36,544,13,3,814,20,2019-01-01
Mymensingh Range,1,1,23,1,0,87,2,6,5,24,405,5,2,435,7,2019-01-01
RMP,0,4,1,1,1,11,0,0,4,6,52,3,0,283,35,2019-01-01
RPMP,0,0,1,0,0,12,1,0,0,6,33,0,0,68,0,2019-01-01
Railway Range,0,1,2,0,0,0,0,0,0,5,9,0,0,55,12,2019-01-01
Rajshahi Range,5,8,29,6,0,99,8,2,5,40,469,25,15,1166,134,2019-01-01
Rangpur Range,1,2,33,0,0,116,0,0,8,38,625,4,0,551,94,2019-01-01
SMP,0,2,5,3,0,15,0,13,2,2,55,0,0,44,2,2019-01-01
Sylhet Range,4,5,20,4,0,67,1,8,7,33,412,1,3,139,21,2019-01-01
BMP,0,0,1,1,0,15,0,0,2,6,33,0,0,76,0,2019-02-01
Barishal Range,1,4,19,0,0,96,3,1,13,15,368,1,0,349,0,2019-02-01
CMP,0,3,5,9,0,31,2,2,9,11,86,33,0,379,1,2019-02-01
Chittagong Range,8,3,55,12,0,149,10,4,34,57,775,52,0,1444,5,2019-02-01
DMP,1,8,16,10,0,148,4,5,42,126,399,10,1,1262,8,2019-02-01
Dhaka Range,5,7,53,4,0,193,9,7,21,79,812,10,1,1647,7,2019-02-01
GMP,0,4,3,1,0,16,0,0,1,6,68,10,0,175,3,2019-02-01
KMP,0,0,1,1,0,6,0,0,5,3,23,2,0,223,1,2019-02-01
Khulna Range,0,2,27,4,0,104,2,1,6,41,433,26,2,1099,34,2019-02-01
Mymensingh Range,0,1,22,5,0,80,3,4,10,27,358,2,0,530,5,2019-02-01
RMP,0,2,0,2,0,10,0,0,5,5,36,2,0,311,23,2019-02-01
RPMP,1,0,0,1,0,16,5,0,0,6,30,1,0,68,0,2019-02-01
Railway Range,0,1,1,0,0,0,0,0,0,8,8,0,0,56,13,2019-02-01
Rajshahi Range,2,3,32,3,0,128,6,6,3,25,445,27,3,1424,141,2019-02-01
Rangpur Range,0,0,14,1,0,160,1,3,8,40,529,2,0,649,94,2019-02-01
SMP,0,1,2,7,0,6,0,0,1,4,44,1,0,53,1,2019-02-01
Sylhet Range,6,4,11,2,0,59,0,4,5,34,317,4,1,258,19,2019-02-01
BMP,0,0,1,2,0,11,0,0,4,4,50,0,0,88,0,2019-03-01
Barishal Range,2,0,11,2,0,119,0,2,15,12,422,4,2,334,1,2019-03-01
CMP,0,4,7,8,0,32,2,2,7,17,111,32,0,446,6,2019-03-01
Chittagong Range,4,5,69,6,0,166,4,10,29,54,803,56,1,1161,10,2019-03-01
DMP,1,7,12,19,0,172,10,3,51,132,433,15,1,1564,13,2019-03-01
Dhaka Range,1,8,60,7,0,201,9,11,22,74,934,10,5,1609,7,2019-03-01
GMP,1,3,7,1,0,22,2,0,0,15,64,17,0,216,5,2019-03-01
KMP,0,1,2,1,0,15,0,0,5,4,28,3,1,222,3,2019-03-01
Khulna Range,3,2,40,3,1,125,0,0,13,36,504,20,5,715,38,2019-03-01
Mymensingh Range,1,0,17,2,0,102,1,0,4,19,379,5,0,467,4,2019-03-01
RMP,0,2,0,1,1,15,0,1,2,4,52,1,0,265,18,2019-03-01
RPMP,0,2,1,0,0,10,5,0,0,5,35,0,0,50,0,2019-03-01
Railway Range,0,0,2,0,0,1,0,0,0,9,17,0,0,49,11,2019-03-01
Rajshahi Range,2,2,22,10,0,138,4,1,4,35,523,17,4,1148,105,2019-03-01
Rangpur Range,2,1,15,0,0,152,3,3,8,44,545,2,0,561,81,2019-03-01
SMP,2,0,1,11,2,13,0,1,5,5,62,1,0,50,2,2019-03-01
Sylhet Range,1,2,23,1,0,72,2,7,4,44,351,3,0,215,13,2019-03-01
BMP,0,1,1,1,0,13,0,0,2,5,46,1,0,99,0,2019-04-01
Barishal Range,2,5,11,3,0,152,0,1,20,19,463,4,0,386,1,2019-04-01
CMP,1,9,15,6,0,50,0,5,8,16,107,60,0,478,8,2019-04-01
Chittagong Range,5,6,65,11,0,274,8,13,29,64,1041,72,1,1298,6,2019-04-01
DMP,1,10,12,13,0,216,14,8,38,107,469,12,3,1603,9,2019-04-01
Dhaka Range,10,15,65,2,0,322,16,8,28,85,1133,13,1,1888,5,2019-04-01
GMP,0,0,7,0,0,24,1,2,2,16,89,8,0,167,3,2019-04-01
KMP,0,0,1,0,0,15,0,0,2,4,32,2,0,197,7,2019-04-01
Khulna Range,2,4,35,1,0,161,6,2,15,28,616,14,0,697,29,2019-04-01
Mymensingh Range,1,1,24,2,0,166,0,0,4,34,427,3,0,510,2,2019-04-01
RMP,0,4,1,0,0,19,2,0,4,4,57,1,0,410,31,2019-04-01
RPMP,0,0,2,0,0,14,0,0,0,5,43,0,0,89,0,2019-04-01
Railway Range,0,1,2,0,0,1,1,0,0,4,11,0,0,67,13,2019-04-01
Rajshahi Range,1,8,36,9,0,212,0,1,5,46,606,15,2,1226,109,2019-04-01
Rangpur Range,1,4,23,1,0,216,2,2,6,41,745,1,0,607,72,2019-04-01
SMP,0,1,2,2,0,19,1,0,1,4,62,0,0,71,3,2019-04-01
Sylhet Range,4,2,17,2,0,97,5,3,7,32,394,3,0,236,23,2019-04-01
BMP,0,1,0,0,0,11,0,0,3,5,47,1,0,116,0,2019-05-01
Barishal Range,0,2,7,0,0,184,0,0,11,20,548,1,1,323,1,2019-05-01
CMP,0,13,9,0,0,46,1,7,6,20,170,111,0,548,5,2019-05-01
Chittagong Range,9,9,75,0,0,295,9,7,24,81,1265,82,0,1303,7,2019-05-01
