feature,perm_importance_mean,perm_importance_std
t_index,0.0085000194419043,0.0014021432586229583
lag_1,0.005021183994099593,0.001411816073905477
month_cos,0.002130450917196637,0.0003461414634312572
roll_std_3,0.0014603189580666093,0.0003551204053319464
roll_mean_6,0.0014380477227726905,0.00023733930905645072
lag_6,0.0005917750264240378,9.407455253603664e-05
lag_12,0.0005431065183841675,0.00011835643915013115
lag_3,0.0005047070435224893,6.280418349774244e-05
roll_std_6,0.0004157133226622995,0.00014405741938883343
lag_2,0.00033042609116041953,4.561940013992399e-05
month_sin,0.000306254783447795,5.435902835625559e-05
roll_mean_3,0.0002797915687711402,7.005405001662926e-05
